scientificName	nuccoreAcc	taxid	parent	source
Purpureocillium_lilacinum	BQKW01000001.1	33203	1052105	UGA SME
Purpureocillium_lilacinum	BQKW01000002.1	33203	1052105	UGA SME
Purpureocillium_lilacinum	BQKW01000003.1	33203	1052105	UGA SME
Purpureocillium_lilacinum	BQKW01000004.1	33203	1052105	UGA SME
Purpureocillium_lilacinum	BQKW01000005.1	33203	1052105	UGA SME
Purpureocillium_lilacinum	BQKW01000006.1	33203	1052105	UGA SME
Purpureocillium_lilacinum	BQKW01000007.1	33203	1052105	UGA SME
Purpureocillium_lilacinum	BQKW01000008.1	33203	1052105	UGA SME
Purpureocillium_lilacinum	BQKW01000009.1	33203	1052105	UGA SME
Purpureocillium_lilacinum	BQKW01000010.1	33203	1052105	UGA SME
Purpureocillium_lilacinum	LC716767.1	33203	1052105	UGA SME
